family,params_b,score_mode,base_model,instruct_model,base_mean,instruct_mean,instruct_minus_base
Qwen,1.5,sum_logprob,qwen25_15b_base,qwen25_15b_instruct,2.3148569348853596,2.57703535109884,0.2621784162134806
Qwen,1.5,mean_logprob,qwen25_15b_base,qwen25_15b_instruct,2.2670837328030093,2.478685336081705,0.21160160327869582
Gemma,2.0,sum_logprob,gemma2_2b_base,gemma2_2b_instruct,1.6675802292090587,2.5558323426348717,0.888252113425813
Gemma,2.0,mean_logprob,gemma2_2b_base,gemma2_2b_instruct,1.622125991052158,2.5502641066517353,0.9281381155995774
Qwen,7.0,sum_logprob,qwen25_7b_base,qwen25_7b_instruct,2.7047244227268923,1.7223833702991376,-0.9823410524277547
Qwen,7.0,mean_logprob,qwen25_7b_base,qwen25_7b_instruct,2.6473102624399623,1.696507554526544,-0.9508027079134183
Gemma,9.0,sum_logprob,gemma2_9b_base,gemma2_9b_instruct,2.3326546878546868,1.3083482212583573,-1.0243064665963295
Gemma,9.0,mean_logprob,gemma2_9b_base,gemma2_9b_instruct,2.3325791157990214,1.3145392749655602,-1.0180398408334612
Mistral,7.0,sum_logprob,mistral7b_base,mistral7b_instruct,2.6749177939595525,2.2614250659604878,-0.4134927279990648
Mistral,7.0,mean_logprob,mistral7b_base,mistral7b_instruct,2.3011157895430965,1.6975696689502007,-0.6035461205928958
