word,distractor,target,item_id
small,tiny,big,0
large,big,small,1
hot,warm,cold,2
cold,chilly,hot,3
happy,glad,sad,4
sad,unhappy,happy,5
fast,quick,slow,6
slow,sluggish,fast,7
bright,shiny,dark,8
dark,dim,bright,9
hard,tough,soft,10
soft,gentle,hard,11
strong,powerful,weak,12
weak,frail,strong,13
old,aged,new,14
new,fresh,old,15
clean,neat,dirty,16
dirty,filthy,clean,17
rich,wealthy,poor,18
poor,needy,rich,19
safe,secure,dangerous,20
dangerous,risky,safe,21
easy,simple,hard,22
difficult,hard,easy,23
loud,noisy,quiet,24
quiet,silent,loud,25
clear,plain,confusing,26
confusing,unclear,clear,27
empty,vacant,full,28
full,complete,empty,29
heavy,weighty,light,30
light,bright,dark,31
narrow,thin,wide,32
wide,broad,narrow,33
deep,profound,shallow,34
shallow,superficial,deep,35
near,close,far,36
far,distant,near,37
young,youthful,old,38
rough,coarse,smooth,39
smooth,sleek,rough,40
wet,damp,dry,41
open,unlocked,closed,42
closed,shut,open,43
kind,nice,cruel,44
cruel,mean,kind,45
brave,bold,cowardly,46
calm,peaceful,anxious,47
anxious,nervous,calm,48
honest,truthful,dishonest,49
lazy,idle,active,50
active,busy,lazy,51
complex,complicated,simple,52
cheap,inexpensive,expensive,53
expensive,costly,cheap,54
false,fake,true,55
thick,dense,thin,56
thin,slim,thick,57
sharp,pointed,dull,58
dull,blunt,sharp,59
ugly,hideous,beautiful,60
smart,clever,stupid,61
stupid,dumb,smart,62
bad,poor,good,63
wrong,incorrect,right,64
